frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
47,1.567,3,0,person,0.612,1.3,355.4,74.9,584.1,38.1,469.7,2.94,-3.91,4.89,-4.31
47,1.567,5,0,person,0.32,568.6,230.5,663.7,469.1,616.1,349.8,-2.88,-0.46,2.92,0.93
47,1.567,15,0,person,0.393,1060.6,212.6,1188.6,549.2,1124.6,380.9,0.27,-0.31,0.41,0.01
47,1.567,17,0,person,0.309,159.0,212.1,298.5,480.5,228.8,346.3,-0.68,-2.92,2.99,-2.09
48,1.6,1,0,person,0.834,109.4,430.1,269.8,643.2,189.6,536.7,-0.16,0.01,0.16,0.36
48,1.6,3,0,person,0.681,1.9,352.1,77.0,584.1,39.4,468.1,1.32,-1.63,2.1,2.28
48,1.6,5,0,person,0.361,568.5,230.0,663.2,468.6,615.8,349.3,-0.31,-0.52,0.61,-0.07
48,1.6,15,0,person,0.349,1060.3,209.7,1189.4,549.2,1124.9,379.4,0.25,-1.43,1.45,-1.11
49,1.633,1,0,person,0.834,109.4,429.9,269.6,642.9,189.5,536.4,-0.07,-0.29,0.3,-0.3
49,1.633,3,0,person,0.617,1.4,351.1,76.9,583.7,39.2,467.4,-0.26,-0.67,0.72,0.97
49,1.633,5,0,person,0.559,569.7,228.5,665.3,468.4,617.5,348.5,1.71,-0.82,1.9,-0.3
49,1.633,15,0,person,0.339,1061.0,206.8,1190.4,547.1,1125.7,377.0,0.84,-2.45,2.59,-1.02
50,1.667,1,0,person,0.84,109.7,429.9,270.2,643.7,189.9,536.8,0.39,0.42,0.58,0.71
50,1.667,3,0,person,0.671,1.8,350.4,78.2,584.5,40.0,467.5,0.84,0.05,0.84,0.72
50,1.667,15,0,person,0.32,1061.1,206.7,1190.5,547.0,1125.8,376.8,0.12,-0.16,0.2,2.29
51,1.7,1,0,person,0.835,111.0,430.2,270.5,643.2,190.8,536.7,0.82,-0.08,0.83,-0.51
51,1.7,3,0,person,0.658,2.7,349.3,80.4,585.2,41.6,467.2,1.58,-0.24,1.6,-0.29
51,1.7,15,0,person,0.362,1061.0,211.8,1189.2,549.4,1125.1,380.6,-0.71,3.74,3.81,3.9
51,1.7,5,0,person,0.388,566.5,255.5,651.1,469.0,608.8,362.2,-4.36,6.89,8.15,3.86
52,1.733,1,0,person,0.834,111.8,430.2,270.5,642.6,191.1,536.4,0.4,-0.32,0.51,-0.24
52,1.733,3,0,person,0.645,0.0,351.2,75.8,583.6,37.9,467.4,-3.66,0.16,3.67,0.39
52,1.733,15,0,person,0.402,1060.6,211.0,1189.3,550.2,1124.9,380.6,-0.18,0.05,0.19,-3.69
52,1.733,5,0,person,0.362,568.5,278.2,644.5,469.1,606.5,373.6,-2.31,11.41,11.64,4.52
53,1.767,1,0,person,0.845,111.5,429.8,270.4,642.3,190.9,536.1,-0.21,-0.34,0.4,-0.01
53,1.767,3,0,person,0.651,0.0,358.5,72.3,581.7,36.1,470.1,-1.77,2.71,3.24,2.56
53,1.767,5,0,person,0.374,567.0,276.6,643.2,468.7,605.1,372.6,-1.4,-1.01,1.73,-12.42
53,1.767,17,0,person,0.366,158.1,217.7,287.0,467.4,222.5,342.5,-1.04,-0.62,1.21,0.38
54,1.8,1,0,person,0.851,110.9,429.5,270.0,642.4,190.5,535.9,-0.47,-0.12,0.49,0.22
54,1.8,3,0,person,0.667,0.0,364.5,70.2,580.9,35.1,472.7,-1.04,2.6,2.79,-0.12
54,1.8,5,0,person,0.363,567.2,281.5,641.5,468.5,604.4,375.0,-0.73,2.4,2.51,3.4
54,1.8,17,0,person,0.412,159.1,215.1,291.5,472.7,225.3,343.9,2.76,1.35,3.08,1.97
55,1.833,1,0,person,0.845,110.9,429.3,269.8,641.9,190.3,535.6,-0.12,-0.39,0.41,-0.27
55,1.833,3,0,person,0.658,0.0,364.9,69.6,580.1,34.8,472.5,-0.33,-0.21,0.39,-2.8
55,1.833,5,0,person,0.61,566.0,246.4,653.9,468.3,610.0,357.3,5.61,-17.71,18.58,-20.11
55,1.833,17,0,person,0.372,154.8,215.4,285.6,472.9,220.2,344.1,-5.11,0.24,5.11,-1.11
56,1.867,1,0,person,0.843,111.2,429.1,269.9,641.3,190.6,535.2,0.22,-0.37,0.43,0.02
56,1.867,3,0,person,0.655,0.0,362.8,70.0,580.2,35.0,471.5,0.24,-1.02,1.04,-0.81
56,1.867,5,0,person,0.618,565.2,234.3,657.2,468.2,611.2,351.2,1.24,-6.09,6.22,11.62
56,1.867,17,0,person,0.415,153.7,214.3,283.8,473.0,218.8,343.6,-1.45,-0.5,1.54,-0.74
57,1.9,1,0,person,0.847,111.1,429.2,270.1,641.6,190.6,535.4,0.03,0.19,0.19,0.56
57,1.9,3,0,person,0.719,1.3,354.4,75.7,581.8,38.5,468.1,3.45,-3.36,4.82,-2.35
57,1.9,5,0,person,0.581,563.5,231.2,655.7,468.2,609.6,349.7,-1.63,-1.54,2.25,4.55
57,1.9,17,0,person,0.428,156.6,215.7,285.0,471.1,220.8,343.4,2.03,-0.21,2.04,0.28
58,1.933,1,0,person,0.859,110.3,429.3,269.1,641.1,189.7,535.2,-0.88,-0.17,0.89,-0.36
58,1.933,3,0,person,0.699,3.4,349.9,80.2,581.6,41.8,465.7,3.3,-2.38,4.07,0.98
58,1.933,5,0,person,0.531,563.9,228.7,656.4,468.1,610.1,348.4,0.55,-1.3,1.41,0.25
58,1.933,17,0,person,0.418,156.2,217.3,283.7,471.7,220.0,344.5,-0.81,1.09,1.36,1.3
59,1.967,1,0,person,0.857,109.9,429.5,268.6,640.9,189.2,535.2,-0.48,-0.05,0.48,0.12
59,1.967,3,0,person,0.708,3.9,348.3,82.1,581.5,43.0,464.9,1.28,-0.82,1.52,1.56
59,1.967,5,0,person,0.683,566.9,228.0,659.7,467.7,613.3,347.9,3.16,-0.51,3.2,0.79
59,1.967,17,0,person,0.375,158.2,218.8,285.1,471.7,221.6,345.3,1.66,0.74,1.82,-0.35
60,2.0,1,0,person,0.863,109.9,429.4,268.4,640.1,189.2,534.8,-0.07,-0.38,0.38,-0.33
60,2.0,3,0,person,0.695,3.7,348.3,82.6,581.2,43.1,464.7,0.08,-0.19,0.21,0.63
60,2.0,5,0,person,0.718,567.5,227.4,660.9,467.7,614.2,347.6,0.91,-0.32,0.96,0.19
60,2.0,17,0,person,0.361,160.3,217.6,286.8,470.5,223.6,344.1,1.94,-1.18,2.27,-1.92
61,2.033,1,0,person,0.859,110.0,429.7,268.0,639.3,189.0,534.5,-0.17,-0.28,0.32,0.1
61,2.033,3,0,person,0.651,1.4,350.1,79.4,580.6,40.4,465.4,-2.75,0.67,2.83,0.85
61,2.033,5,0,person,0.789,567.5,227.3,660.8,466.8,614.1,347.0,-0.1,-0.55,0.56,-0.23
61,2.033,17,0,person,0.32,155.6,217.7,280.6,468.7,218.1,343.2,-5.49,-0.86,5.56,0.32
62,2.067,1,0,person,0.86,109.6,429.8,268.0,639.5,188.8,534.6,-0.17,0.14,0.22,0.42
62,2.067,3,0,person,0.648,0.0,361.8,72.8,579.1,36.4,470.5,-4.0,5.1,6.48,4.43
