frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
32,1.067,4,0,chair,0.378,370.4,341.7,534.3,643.5,452.4,492.6,-1.13,32.1,32.12,34.24
32,1.067,2,0,person,0.8,609.6,135.8,808.4,370.8,709.0,253.3,10.39,-7.84,13.01,-2.88
32,1.067,32,0,person,0.389,391.0,151.2,528.4,375.0,459.7,263.1,7.73,-6.28,9.96,-0.81
32,1.067,22,56,chair,0.485,261.9,448.9,459.4,651.7,360.7,550.3,6.15,-4.16,7.43,-0.97
33,1.1,1,0,person,0.781,564.8,211.2,722.6,626.5,643.7,418.8,10.32,0.0,10.32,5.12
33,1.1,4,0,person,0.753,386.8,294.5,581.2,643.0,484.0,468.7,31.63,-23.87,39.63,-55.97
33,1.1,2,0,person,0.732,618.1,131.1,818.7,368.6,718.4,249.9,9.42,-3.4,10.02,4.44
33,1.1,32,0,person,0.397,399.2,147.3,539.8,377.2,469.5,262.3,9.78,-0.86,9.81,5.41
33,1.1,22,56,chair,0.503,269.3,447.0,466.4,651.8,367.8,549.4,7.16,-0.9,7.21,3.26
34,1.133,1,0,person,0.771,570.1,208.6,729.8,630.7,650.0,419.7,6.29,0.84,6.34,0.84
34,1.133,4,0,person,0.68,379.7,283.2,582.5,645.5,481.1,464.4,-2.91,-4.38,5.26,19.5
34,1.133,2,0,person,0.676,624.0,129.7,826.7,370.5,725.3,250.1,6.93,0.24,6.93,3.64
34,1.133,32,0,person,0.454,405.3,146.4,549.1,382.3,477.2,264.4,7.71,2.1,7.99,2.97
34,1.133,22,56,chair,0.431,275.4,448.2,471.7,654.0,373.6,551.1,5.75,1.69,5.99,2.59
35,1.167,1,0,person,0.76,574.3,207.9,734.4,631.2,654.3,419.6,4.36,-0.12,4.36,-0.95
35,1.167,4,0,person,0.618,374.2,280.0,580.0,647.7,477.1,463.8,-4.02,-0.52,4.05,3.85
35,1.167,2,0,person,0.534,629.8,129.6,832.5,371.7,731.1,250.7,5.81,0.56,5.83,0.32
35,1.167,22,56,chair,0.437,281.7,450.6,476.4,656.0,379.0,553.3,5.48,2.24,5.92,0.55
35,1.167,37,29,frisbee,0.48,794.7,258.8,866.7,290.7,830.7,274.8,0.0,0.0,0.0,0.0
35,1.167,38,0,person,0.352,465.9,148.5,549.9,273.5,507.9,211.0,0.0,0.0,0.0,0.0
36,1.2,1,0,person,0.782,578.9,205.0,740.0,631.5,659.5,418.3,5.12,-1.3,5.29,-1.18
36,1.2,4,0,person,0.746,372.4,278.8,578.1,647.7,475.2,463.2,-1.87,-0.64,1.98,-0.11
36,1.2,2,0,person,0.596,634.9,127.9,839.2,373.1,737.0,250.5,5.88,-0.15,5.88,-0.7
36,1.2,22,56,chair,0.379,287.9,450.4,481.1,655.6,384.5,553.0,5.47,-0.32,5.48,-2.56
36,1.2,38,0,person,0.305,470.5,147.2,555.0,272.6,512.7,209.9,4.83,-1.06,4.94,-1.06
36,1.2,32,0,person,0.359,399.1,144.4,541.2,382.9,470.1,263.7,-3.54,-0.35,3.56,-1.23
